Property,Description,Notes,Collection Rate,Unit,Type,rangeMin,rangeMax
RMH,Humidity,,polled,,,,
CO2,Carbon Dioxide,,polled,,,,
CMD,Ceiling motion detector,,cov,,,,
WMD,Wall motion detector (Thermostat),,cov,,,,
RAD_MOD,Modulation of Radiator Valve,,polled,,,,
RMT_SP,Room Setpoint,,cov,,,,
BLIND_POS_AV,Blind Position,100% - Closed,cov,,,,
LIGHT_AVG_LUX_LEVEL_AV,"Average of LUX 1, 2, and 3",,polled,,,,
VAV_system_SCH_BV,Air Handling Unit Schedule,,cov,,,,
MD_OCC_BV,Occupancy,Calculated based on motion detectors,cov,,,,
VAV_OAT_XFER_AV,Outdoor Air Temperature,,polled,,,,
RMT_CO,Room Temperature Control Object,,polled,,,,
VAV_RAT,Return Air Temperature,,polled,,,,
LIGHT_kW_AV,Light Power Usage,,polled,,,,
LIGHT_AMP,Light Current,,polled,,,,
RMT,Room Temperature,,polled,,,,
LIGHT_ON,Lights On,,cov,,,,
LIGHT_OFF,Lights Off,,cov,,,,
VAV_FLOW_AV,VAV Flow,,polled,,,,
VAV_FLOW_SP,VAV Flow Setpoint,,polled,,,,
PERIM_HTG_DELTA_T_AV,Delta T of The Radiator Water,,polled,,,,
WINDOW_CONTACT_BV,Window Open/Closed,,cov,,,,
VAV_CTRL_MODE_MV,????,,cov,,,,
PERIM_HTG_DELTA_T_CO,Delta T of The Radiator Water Control Object,,polled,,,,
MPC,?????,,cov,,,,
sMPC,?????,,cov,,,,
VAV_SAT_SP,VAV Supply Air Temperature Set Point,,polled,,,,
VAV_SAT,VAV Supply Air Temperature,,polled,,,,
VAV_DP_CO,VAV Differential Pressure Control Object,,polled,,,,
SAT_CO,Supply Air Temperature Control Object,,polled,,,,
LIGHT_DIM,Light Dim Level,,polled,,,,
VAV_system_UNIT_MODE_BV,VAV On or Off,Based on building level  schedule,cov,,,,
LIGHT_OUTPUT_AV,????,,cov,,,,
LIGHT_LAST_VALUE_AV,????,,cov,,,,
DC,????,,cov,,,,
TEMP_PERM_BV,????,,cov,,,,
GENERAL_PERM_BV,????,,cov,,,,
VAV_system_UNIT_MODE_BV,VAV Unit Mode (On/Off),,cov,,,,
LUX1,Lux Sensor 1,,polled,,,,
LUX2,Lux Sensor 2,,polled,,,,
LUX3,Lux Sensor 3,,polled,,,,
LUX_TL,Light Level,,polled,Lux,double,400,700
LIGHT_kWh_AT,????,,polled,,,,
VAV_RHC_MOD,VAV Reheat Coil Modulation,,polled,,,,
VAV_DMP_MOD,VAV Damper Position,,polled,,,,
VAV_DP_SP,VAV Differential Pressure Setpoint,,polled,,,,
VAV_FBK,VAV Feedback Position,,polled,,,,
VAV_DP,VAV Differential Pressure,,polled,,,,
KEY_PRESS_1_BV,Top Left Button Pressed,"Not recording in kaizen properly, accesses this data through coppertree",cov,,,,
KEY_PRESS_2_BV,Top Middle Button Pressed,"Not recording in kaizen properly, accesses this data through coppertree",cov,,,,
KEY_PRESS_3_BV,Top Right Button Pressed,"Not recording in kaizen properly, accesses this data through coppertree",cov,,,,
KEY_PRESS_4_BV,Bottom Left Button Pressed,"Not recording in kaizen properly, accesses this data through coppertree",cov,,,,
KEY_PRESS_5_BV,Bottom Middle Button Pressed,"Not recording in kaizen properly, accesses this data through coppertree",cov,,,,
KEY_PRESS_6_BV,Bottom Right Button Pressed,"Not recording in kaizen properly, accesses this data through coppertree",cov,,,,
ECO_MODE_BV,Eco Mode on/off,"Not recording in kaizen properly, accesses this data through coppertree",cov,,,,
KEY_PRESS_MV,Outups 1-6 depending on button pressed,"Not recording in kaizen properly, accesses this data through coppertree",cov,,,,
LIGHT_MODE_MV,,,cov,,,,
